keys,ts,en,it,pt,
LANGUAGE_NAME,TEST,English,Italiano,Português,
,,,,,
-Startup-,,,,,
DISCLAIMER,DISCLAIMER,DISCLAIMER,AVVISO,"ISENÇÃO DE RESPONSABILIDADE",
MADE_BY,MADE_BY,This game is made by,Questo gioco è stato creato da,Este jogo foi feito por,
DISCLAIMER_TEXT,DISCLAIMER_TEXT,"Project Luminext has no relationship with the Lumines™ series, and wasn't endorsed by it's respective owners: Enhance, Resonair and BNEI, nor any of their affiliates.","Project Luminext non ha alcuna relazione con la serie Lumines e non è approvato da i suoi creatori: Enhance, Resonair e BNEI, ne altre enti associate ad esso.","Project Luminext não tem qualquer relação com a serie Lumines™ e não foi apoiado publicamente pelos respetivos donos: Enhance, Resonair and BNEI, bem como nenhum do seus associados.",
DISCLAIMER_TEXT2,DISCLAIMER_TEXT2,"This game is currently in the active development stage, so any features present here might be subject to change. Visit our official Discord server or project GitHub page to get more info about bug-reporting and contributing to this project.","Questo gioco è al momento in fase di sviluppo, quindi ogni feature presente potrebbe essere soggetto a cambiamenti. Visita il nostro server Discord ufficiale oppure la pagina project GitHub per ottenere più informazione riguardo al bug-reporting e alla contribuzione di questo progetto.","Este jogo está atualmente em desenvolvimento, qualquer recurso aqui presente pode ser sujeito a atualizações. Visita o nosso servidor do Discord ou pagina GitHub para obteres mais informações sobre bugs e contribuir.",
DISCLAIMER_TEXT3,DISCLAIMER_TEXT3,"This is a free community project available for others to use and contribute to, without charge. The source code is open and licensed under the AGPL v3 license.","Questo è un progetto della community gratuito disponibile per gli altri da utilizzare e contribuire, senza limitazioni. Il codice è aperto e sotto la licenza di AGPL v3.","Este projeto é gratuito e aberto ao publico, permitindo assim que outros possam contribuir, sem custos adicionados. O código fonte está sub a licença AGPL v3 license.",
DISCLAIMER_TEXT4,DISCLAIMER_TEXT4,You can contact me at: random.likes.apes@gmail.com,Potete contattarmi tramite mail su: random.likes.apes@gmail.com,Podes contactar-me através do email: random.likes.apes@gmail.com,
WARNING,WARNING,WARNING,ATTENZIONE,AVISO,
WARNING_TEXT,WARNING_TEXT,"This game features flashing lights and light patterns which may induce dizzy spells or epileptic seizures for a small percentage of people, even if they have never experienced these problems before.",Questo gioco contiene luci lampeggianti e movimentate che possono causare vertigini o crisi epilettiche ad una piccola percentuale di persone. Anche se non hanno mai contratto questi problemi finora.,"Este jogo apresenta luzes intermitentes e padrões de luz que podem induzir tonturas ou ataques epiléticos numa pequena percentagem de pessoas, mesmo que não tenham histórico da mesma.",
